003 ಧೃತರಾಷ್ಟ್ರಶೋಕಃ 	 08_karNaparva/073_karNavadha-parva/003/
003 ಧೃತರಾಷ್ಟ್ರಶೋಕಕರಣಃ 	 11_strIparva/080_vishOka-parva/003/
003 ನಿಮಿತ್ತಾಖ್ಯಾನಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/003/
003 ಪೌಷ್ಯ ಪರ್ವ 	 01_Adiparva/003_paushya-parva/
003 ಯುಧಿಷ್ಠಿರಾದಿಮಂತ್ರಣಃ 	 04_virATaparva/045_vairATa-parva/003/
003 ಸಭಾನಿರ್ಮಾಣಃ 	 02_Sabhaparva/020_sabhA-parva/003/
003 ಸಾತ್ಯಕಿಕ್ರೋಧವಾಕ್ಯಃ 	 05_udyOgaparva/049_udyOga-parva/003/
003: ಉತ್ಪಾತದರ್ಶನಃ 	 16_mausalaparva/93_mausala-parva/003/
003: ಧೃತರಾಷ್ಟ್ರಶುಶ್ರೂಷಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/003/
003: ಮರುತುತ್ಪತ್ತಿಕಥನಮ್ 	 19_harivaMsha/96_harivaMsha-parva/003/
003: ಯುಧಿಷ್ಠಿರತನುತ್ಯಾಗಃ 	 18_svargArOhaNaparva/95_svargArOhaNa-parva/003/
003: ಯುಧಿಷ್ಠಿರಸ್ವರ್ಗಾರೋಹಃ 	 17_mahAprasthAnikaparva/94_mahAprasthAnika-parva/003/
003: ವಿಶ್ವಾಮಿತ್ರೋಪಾಖ್ಯಾನಃ 	 13_anushAsanaparva/87_dAnadharma-parva/003/
003: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/003/
004 ಕಥಾಪ್ರವೇಶಃ 	 01_Adiparva/004_paulOma-parva/004/
004 ಕರ್ಣಾಶ್ವಾಸಃ 	 07_drONaparva/065_drONAbhishEka-parva/004/
004 ಕಾಮ್ಯಕವನಪ್ರವೇಶಃ 	 03_aranyakaparva/029_AraNyaka-parva/004/
004 ದುರ್ಯೋಧನವಾಕ್ಯಃ 	 09_shalyaparva/074_shalyavadha-parva/004/
004 ದುರ್ಯೋಧನಸ್ವಯಂವರೇ ಕನ್ಯಾಹರಣಂ 	 12_shAMtiparva/084_rAjadharma-parva/004/
004 ದ್ರುಪದವಾಕ್ಯಃ 	 05_udyOgaparva/049_udyOga-parva/004/
004 ದ್ರೌಣಿಮಂತ್ರಣಾ 	 10_sauptikaparva/078_sauptika-parva/004/
004 ಧೃತರಾಷ್ಟ್ರಶೋಕಕರಣಃ 	 11_strIparva/080_vishOka-parva/004/
004 ಧೌಮ್ಯೋಪದೇಶಃ 	 04_virATaparva/045_vairATa-parva/004/
004 ನಿಮಿತ್ತಾಖ್ಯಾನಃ 	 06_bhIshmaparva/061_jaMbUkhaMDavinirmANa-parva/004/
004 ಪೌಲೋಮ ಪರ್ವ 	 01_Adiparva/004_paulOma-parva/
004 ಸಂಜಯವಾಕ್ಯಃ 	 08_karNaparva/073_karNavadha-parva/004/
004 ಸಭಾಪ್ರವೇಶಃ 	 02_Sabhaparva/020_sabhA-parva/004/
004: ಕೃತವರ್ಮಾದೀನಾಂ ಪರಸ್ಪರಹನನಃ 	 16_mausalaparva/93_mausala-parva/004/
004: ದ್ರೌಪದ್ಯಾದಿಸ್ವಸ್ವಸ್ಥಾನಗಮನಃ 	 18_svargArOhaNaparva/95_svargArOhaNa-parva/004/
004: ಪೃಥೂಪಾಖ್ಯಾನಮ್ 	 19_harivaMsha/96_harivaMsha-parva/004/
004: ಭೀಮಾಪನಯಃ 	 15_AshramavAsikaparva/90_AshramavAsa-parva/004/
004: ವಿಶ್ವಾಮಿತ್ರೋಪಾಖ್ಯಾನಃ 	 13_anushAsanaparva/87_dAnadharma-parva/004/
004: ಸಂವರ್ತಮರುತ್ತೀಯಃ 	 14_ashvamEdhikaparva/89_ashvamEdhika-parva/004/
005 	 18_svargArOhaNaparva/95_svargArOhaNa-parva/005/
005 ಆಸ್ತೀಕ ಪರ್ವ 	 01_Adiparva/005_AstIka-parva/
005 ಕರ್ಣವೀರ್ಯಕಥನಂ 	 12_shAMtiparva/084_rAjadharma-parva/005/
005 ದ್ರೋಣಪ್ರೋತ್ಸಾಹನಃ 	 07_drONaparva/065_drONAbhishEka-parva/005/
005 ದ್ರೌಣಿಗಮನಃ 	 10_sauptikaparva/078_sauptika-parva/005/
005 ಧೃತರಾಷ್ಟ್ರಪ್ರಶ್ನಃ 	 08_karNaparva/073_karNavadha-parva/005/
005 ಧೃತರಾಷ್ಟ್ರಶೋಕಕರಣಃ 	 11_strIparva/080_vishOka-parva/005/
005 ಪುರಪ್ರವೇಶೇ ಅಸ್ತ್ರಸಂಸ್ಥಾಪನಃ 	 04_virATaparva/045_vairATa-parva/005/
